1.四则运算题目1 52-47=
2.四则运算题目2 74+25=
3.四则运算题目3 18+57+9=
4.四则运算题目4 34+60-5=
5.四则运算题目5 43-1-18=
6.四则运算题目6 55+45=
7.四则运算题目7 87+11+0=
8.四则运算题目8 81-30-4=
9.四则运算题目9 1+83=
10.四则运算题目10 61-15=
11.四则运算题目11 49+44-56=
12.四则运算题目12 45-16-28=
13.四则运算题目13 78+22-26=
14.四则运算题目14 67-64-3=
15.四则运算题目15 9+69-8=
16.四则运算题目16 90+5-58=
17.四则运算题目17 15-3=
18.四则运算题目18 71+11-55=
19.四则运算题目19 51-48=
20.四则运算题目20 32+37+7=
21.四则运算题目21 30+40-56=
22.四则运算题目22 19+0=
23.四则运算题目23 97-92=
24.四则运算题目24 38+53+5=
25.四则运算题目25 14-3-5=
26.四则运算题目26 25+60=
27.四则运算题目27 64+28=
28.四则运算题目28 60-2-46=
29.四则运算题目29 98+1=
30.四则运算题目30 53-5+46=
31.四则运算题目31 89-78+0=
32.四则运算题目32 39-6=
33.四则运算题目33 95+2+3=
34.四则运算题目34 11+7+17=
35.四则运算题目35 64-51+52=
36.四则运算题目36 63+22+8=
37.四则运算题目37 58-35+11=
38.四则运算题目38 17+82=
39.四则运算题目39 12-0=
40.四则运算题目40 12-9-1=
41.四则运算题目41 6+43-22=
42.四则运算题目42 100+0-70=
43.四则运算题目43 28+16=
44.四则运算题目44 22-0-12=
45.四则运算题目45 49+43=
46.四则运算题目46 55+18=
47.四则运算题目47 0-0+100=
48.四则运算题目48 48-37=
49.四则运算题目49 72+1+2=
50.四则运算题目50 11+34=
51.四则运算题目51 83+14-77=
52.四则运算题目52 23+6-5=
53.四则运算题目53 74+1=
54.四则运算题目54 73+20-14=
55.四则运算题目55 85-40-26=
56.四则运算题目56 77+23=
57.四则运算题目57 32+44-48=
58.四则运算题目58 90-71=
59.四则运算题目59 42+51+5=
60.四则运算题目60 87+2=
61.四则运算题目61 58-34=
62.四则运算题目62 86+6-61=
63.四则运算题目63 90+4=
64.四则运算题目64 33-30=
65.四则运算题目65 44-13-10=
66.四则运算题目66 38-18-17=
67.四则运算题目67 73+23-91=
68.四则运算题目68 14-14+59=
69.四则运算题目69 74-27=
70.四则运算题目70 82-55+20=
71.四则运算题目71 22-17=
72.四则运算题目72 79-18=
73.四则运算题目73 57+40-82=
74.四则运算题目74 92+5+0=
75.四则运算题目75 36+36+18=
76.四则运算题目76 51+21-37=
77.四则运算题目77 27-5=
78.四则运算题目78 12+51-60=
79.四则运算题目79 26+30=
80.四则运算题目80 47+52=
81.四则运算题目81 59+7-45=
82.四则运算题目82 13+11=
83.四则运算题目83 54-13+48=
84.四则运算题目84 86-34=
85.四则运算题目85 27-20=
86.四则运算题目86 34+42=
87.四则运算题目87 13-2=
88.四则运算题目88 20-18=
89.四则运算题目89 59-47-9=
90.四则运算题目90 94+5-37=
91.四则运算题目91 3-3-0=
92.四则运算题目92 0+59=
93.四则运算题目93 5-4+22=
94.四则运算题目94 50-31+29=
95.四则运算题目95 3+19=
96.四则运算题目96 5+86=
97.四则运算题目97 71-41+6=
98.四则运算题目98 25+46=
99.四则运算题目99 79-13=
100.四则运算题目100 79+5=
